0	0
0	-30.52
0.00458	-36.62
0.03204	-18.31
0.05035	-18.31
0.06866	-30.52
0.09155	-24.41
0.11444	-30.52
0.13275	-24.41
0.15106	-18.31
0.17395	-24.41
0.19226	-24.41
0.21515	-24.41
0.23346	-24.41
0.25177	-24.41
0.27008	-30.52
0.29297	-18.31
0.31586	-30.52
0.33417	-18.31
0.35248	-24.41
0.37537	-18.31
0.39368	-18.31
0.41199	-18.31
0.43488	-24.41
0.45319	-18.31
0.4715	-18.31
0.49438	-18.31
0.51727	-6.1
0.53558	-12.21
0.55389	0
0.5722	0
0.59052	-6.1
0.6134	0
0.63629	0
0.65918	6.1
0.67291	12.21
0.6958	12.21
0.71411	18.31
0.737	12.21
0.75531	18.31
0.7782	18.31
0.79651	24.41
0.8194	36.62
0.83771	30.52
0.85602	36.62
0.87433	30.52
0.89722	36.62
0.91553	36.62
0.93842	36.62
0.95673	54.93
0.97961	48.83
0.99792	48.83
1.01624	48.83
1.03455	61.04
1.05743	67.14
1.07574	67.14
1.09863	54.93
1.11694	67.14
1.13525	67.14
1.15814	73.24
1.17645	73.24
1.19934	79.35
1.21765	79.35
1.23596	79.35
1.25885	91.55
1.27716	85.45
1.30005	91.55
1.31836	91.55
1.34125	97.66
1.35498	97.66
1.37787	103.76
1.40076	109.86
1.41907	97.66
1.43738	103.76
1.45569	103.76
1.47858	109.86
1.49689	109.86
1.51978	115.97
1.53809	115.97
1.56097	122.07
1.57928	122.07
1.60217	122.07
1.62048	122.07
1.63879	128.17
1.6571	128.17
1.67999	128.17
1.6983	134.28
1.72119	140.38
1.7395	134.28
1.75781	134.28
1.7807	140.38
1.79901	134.28
1.8219	140.38
1.84021	146.48
1.85852	152.59
1.88141	146.48
1.89972	152.59
1.91803	158.69
1.94092	158.69
1.95923	158.69
1.98212	170.9
2.00043	158.69
2.01874	177
2.04163	164.79
2.05994	164.79
2.08282	158.69
2.10114	177
2.11945	170.9
2.14233	170.9
2.16064	177
2.17896	170.9
2.20184	177
2.22015	183.11
2.23846	177
2.26135	183.11
2.27966	177
2.30255	189.21
2.32086	183.11
2.33917	189.21
2.36206	201.42
2.38037	195.31
2.40326	195.31
2.42157	189.21
2.44446	195.31
2.46277	189.21
2.48108	201.42
2.49939	201.42
2.5177	201.42
2.54059	207.52
2.5589	201.42
2.58179	213.62
2.6001	201.42
2.61841	207.52
2.6413	213.62
2.65961	213.62
2.6825	213.62
2.70081	207.52
2.72369	213.62
2.73743	219.73
2.76031	213.62
2.77863	213.62
2.80151	213.62
2.81982	213.62
2.83813	225.83
2.86102	219.73
2.87933	231.93
2.90222	219.73
2.92053	225.83
2.94342	219.73
2.96173	225.83
2.98462	231.93
3.00293	231.93
3.02124	231.93
3.04413	225.83
3.06244	231.93
3.08075	231.93
3.09906	231.93
3.12195	238.04
3.14026	231.93
3.15857	238.04
3.18146	238.04
3.19977	238.04
3.22266	244.14
3.24554	244.14
3.26385	256.35
3.28217	244.14
3.30048	244.14
3.32336	244.14
3.34167	250.24
3.36456	250.24
3.3783	250.24
3.40118	250.24
3.42407	256.35
3.44238	250.24
3.46069	262.45
3.48358	256.35
3.50189	256.35
3.5202	262.45
3.54309	262.45
3.5614	256.35
3.57971	262.45
3.6026	262.45
3.62091	262.45
3.6438	268.55
3.65753	268.55
3.685	268.55
3.70331	268.55
3.72162	268.55
3.74451	268.55
3.75824	274.66
3.78113	274.66
3.80402	268.55
3.82233	268.55
3.84064	274.66
3.86353	280.76
3.88184	280.76
3.90472	280.76
3.92303	280.76
3.94135	274.66
3.96423	280.76
3.98254	274.66
4.00085	286.87
4.01917	286.87
4.04205	286.87
4.06036	286.87
4.08325	292.97
4.10156	292.97
4.11987	286.87
4.13818	292.97
4.16107	286.87
4.18396	292.97
4.20227	292.97
4.22058	292.97
4.24347	299.07
4.26636	292.97
4.28467	299.07
4.30298	299.07
4.32129	299.07
4.34418	299.07
4.36249	311.28
4.3808	299.07
4.40369	305.18
4.422	305.18
4.44031	311.28
4.4632	305.18
4.48151	317.38
4.50439	317.38
4.51813	317.38
4.54102	311.28
4.55933	305.18
4.58221	317.38
4.60052	311.28
4.62341	323.49
4.64172	311.28
4.66461	323.49
4.68292	323.49
4.70123	323.49
4.72412	329.59
4.74243	323.49
4.76074	317.38
4.78363	329.59
4.80194	329.59
4.82483	335.69
4.84314	329.59
4.86145	329.59
4.88434	341.8
4.90265	335.69
4.92096	329.59
4.94385	335.69
4.96216	335.69
4.98047	329.59
5.00336	341.8
5.02625	341.8
5.03998	329.59
5.06287	335.69
5.08118	347.9
5.10406	354
5.12238	354
5.14069	347.9
5.159	354
5.18188	347.9
5.2002	354
5.22308	354
5.24139	354
5.26428	360.11
5.28259	354
5.30548	360.11
5.31921	354
5.3421	360.11
5.36041	360.11
5.3833	366.21
5.40161	366.21
5.4245	366.21
5.44281	372.31
5.46112	372.31
5.48401	372.31
5.50232	366.21
5.52063	372.31
5.53894	372.31
5.56183	384.52
5.58014	384.52
5.60303	384.52
5.62134	378.42
5.64423	378.42
5.66254	384.52
5.68085	384.52
5.69916	378.42
5.72205	390.63
5.74036	396.73
5.75867	390.63
5.78156	390.63
5.80444	396.73
5.82275	396.73
5.84106	396.73
5.85937	396.73
5.88226	402.83
5.90515	402.83
5.91888	402.83
5.94177	402.83
5.96008	408.94
5.98297	415.04
6.00128	408.94
6.02417	408.94
6.04248	408.94
6.06079	415.04
6.08368	415.04
6.10199	421.14
6.1203	421.14
6.14319	421.14
6.1615	421.14
6.17981	421.14
6.2027	421.14
6.22101	427.25
6.23932	421.14
6.26221	433.35
6.28052	433.35
6.30341	439.45
6.32172	439.45
6.34003	433.35
6.36292	445.56
6.38123	433.35
6.39954	445.56
6.42242	445.56
6.44073	451.66
6.45905	451.66
6.48193	451.66
6.50482	451.66
6.52313	451.66
6.54144	463.87
6.55975	463.87
6.58264	463.87
6.60095	469.97
6.62384	463.87
6.64215	469.97
6.66504	476.07
6.68335	476.07
6.70166	476.07
6.71997	476.07
6.74286	482.18
6.76117	469.97
6.78406	488.28
6.80237	488.28
6.82068	488.28
6.83899	488.28
6.86188	488.28
6.88477	488.28
6.90308	488.28
6.92139	494.38
6.9397	506.59
6.96259	506.59
6.98547	506.59
7.00378	500.49
7.02209	506.59
7.04041	512.7
7.05872	506.59
7.0816	512.7
7.10449	518.8
7.1228	524.9
7.14111	531.01
7.15942	524.9
7.18231	531.01
7.20062	518.8
7.21893	531.01
7.24182	537.11
7.26471	537.11
7.28302	543.21
7.30133	543.21
7.32422	543.21
7.34253	549.32
7.36084	549.32
7.37915	555.42
7.40204	549.32
7.42035	561.52
7.44324	549.32
7.46155	561.52
7.47986	561.52
7.50732	561.52
7.52106	573.73
7.54395	573.73
7.56226	573.73
7.58057	579.83
7.60345	579.83
7.62177	579.83
7.64008	585.94
7.65839	592.04
7.68127	598.14
7.70416	598.14
7.72247	598.14
7.74536	592.04
7.76367	604.25
7.78198	610.35
7.80029	616.46
7.82318	616.46
7.84149	610.35
7.8598	616.46
7.88269	622.56
7.901	622.56
7.91931	634.77
7.9422	634.77
7.96051	634.77
7.9834	646.97
8.00171	640.87
8.02002	653.08
8.04291	646.97
8.0658	659.18
8.08411	659.18
8.10242	665.28
8.12073	665.28
8.14362	677.49
8.16193	671.39
8.18024	683.59
8.20312	695.8
8.22144	695.8
8.24432	695.8
8.26263	701.9
8.28094	701.9
8.30383	708.01
8.32214	720.21
8.34045	726.32
8.36334	726.32
8.38165	732.42
8.40454	738.53
8.42285	738.53
8.44116	756.84
8.46405	750.73
8.48236	762.94
8.50067	762.94
8.51898	775.15
8.54187	781.25
8.56018	781.25
8.58307	787.35
8.60138	793.46
8.62427	805.66
8.64258	805.66
8.66089	817.87
8.6792	823.97
8.70209	823.97
8.7204	830.08
8.74329	842.29
8.7616	854.49
8.77991	860.6
8.8028	860.6
8.82111	872.8
8.83942	872.8
8.8623	891.11
8.88062	897.22
8.9035	903.32
8.92181	909.42
8.94012	927.73
8.96301	933.84
8.98132	939.94
8.99963	946.04
9.02252	958.25
9.04083	964.36
9.06372	982.67
9.08203	988.77
9.10492	1000.98
9.12323	1007.08
9.14154	1013.18
9.15985	1031.49
9.18274	1037.6
9.20105	1055.91
