	1000	4840	7260	9680	12100	14520	16940	19360	21780	24200	26620	29040	31460	33880	36300	37510	40003	45000	50000	55000	60000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	17.11508465	17.11508465	17.15771425	17.06857963	17.25722181	15.50398251	15.04133528	14.66546976	13.09786988	11.81237434	10.76793633	9.871185491	9.109427915	8.439459857	7.857270705	7.607353295	7.093495751	7.312882217	7.312882217	7.312882217	7.312882217
