	0	0.5	1	1.5	2
50	-3000	-3000	-3000	-3000	-3000
75	-3000	-3000	-3000	-3000	-3000
100	-3000	-3000	-3000	-3000	-3000
125	-3000	-3000	-3000	-3000	-3000
250	-3000	-3000	-3000	-3000	-3000
