	 0	 10	 20	 30	 40	 50	 60	 70	 80	 90	 100
0.00	 0	 250	 500	 750	 1000	 1250	 1500	 1750	 1800	 1800	 1800
1.00	 0	 250	 500	 750	 1000	 1250	 1500	 1750	 1800	 1800	 1800
