	 0	 10	 20	 30	 40	 50	 60	 70	 80	 90	 100
0.00	 0	 300	 600	 900	 1200	 1500	 1800	 1800	 1800	 1800	 1800
1.00	 0	 300	 600	 900	 1200	 1500	 1800	 1800	 1800	 1800	 1800
