	0	0.5	1	1.5	2
50	-1200	-1200	-1200	-1200	-1200
75	-1200	-1200	-1200	-1200	-1200
100	-1200	-1200	-1200	-1200	-1200
125	-1200	-1200	-1200	-1200	-1200
250	-1200	-1200	-1200	-1200	-1200
