	 0	 10	 20	 30	 40	 50	 60	 70	 80	 90	 100
0.00	 0	 150	 300	 450	 600	 750	 900	 1050	 1200	 1350	 1500
1.00	 0	 150	 300	 450	 600	 750	 900	 1050	 1200	 1350	 1500
