	20.0	182.8	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1030.3
0	0.14448	0.24154	0.27147	0.30126	0.33084	0.36012	0.38892	0.41694	0.44395	0.4698	0.49445	0.51752	0.53877	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.1	0.15415	0.24522	0.2733	0.3012	0.32889	0.35641	0.38367	0.4103	0.43603	0.46077	0.48454	0.50682	0.52736	0.54609	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.2	0.16370	0.24901	0.27531	0.30139	0.32732	0.35324	0.37913	0.40459	0.42922	0.45306	0.47614	0.4978	0.51778	0.53606	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.3	0.17267	0.25275	0.27744	0.30185	0.32621	0.35075	0.37542	0.3999	0.42364	0.44677	0.46926	0.49039	0.50997	0.52797	0.54464	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.4	0.18065	0.25624	0.27955	0.30252	0.32557	0.349	0.37269	0.39631	0.41935	0.44187	0.46377	0.48445	0.50373	0.52153	0.53801	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.5	0.18751	0.25957	0.28179	0.30364	0.32566	0.34823	0.37113	0.39407	0.41652	0.4385	0.45978	0.48009	0.4991	0.5167	0.53295	0.54743	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.6	0.19356	0.26314	0.2846	0.30573	0.32705	0.34894	0.37125	0.39362	0.41554	0.43693	0.45764	0.47754	0.4962	0.51348	0.52942	0.54358	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.7	0.19953	0.26735	0.28826	0.30901	0.32995	0.35139	0.37326	0.39512	0.41651	0.43727	0.45744	0.47681	0.495	0.51185	0.52736	0.54108	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
0.8	0.20584	0.27215	0.2926	0.31315	0.33398	0.35524	0.37677	0.39816	0.41904	0.43927	0.45893	0.47773	0.49541	0.51175	0.52664	0.53976	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000	0.55000
