	 0	 10	 20	 30	 40	 50	 60	 70	 80	 90	 100
0.00	 0	 100	 200	 300	 400	 500	 600	 700	 800	 900	 1000
1.00	 0	 100	 200	 300	 400	 500	 600	 700	 800	 900	 1000
