	0	0.5	1	1.5	2
50	-3000	-300	-300	-300	-300
75	-3000	-1866	-300	-300	-300
100	-3000	-2756	-1612	-467	-300
125	-3000	-3000	-2435	-1703	-971
250	-3000	-3000	-3000	-3000	-3000
