	 0	 10	 20	 30	 40	 50	 60	 70	 80	 90	 100
0.00	 0	 350	 700	 1050	 1400	 1750	 1800	 1800	 1800	 1800	 1800
1.00	 0	 350	 700	 1050	 1400	 1750	 1800	 1800	 1800	 1800	 1800
