	1000	4840	7260	9680	12100	14520	16940	19360	21780	24200	26620	29040	31460	33880	36300	37510	40003	45000	50000	55000	60000
56.58	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
60.67	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
62.67	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
67.31	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
72.66	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
78.73	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
85.88	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
94.21	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
104.47	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
119.97	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
123.66	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
140	87.64313944	87.64313944	90.47838526	92.01973728	92.70072605	94.01494015	94.86925654	95.29197646	95.56393346	95.57788945	95.54817276	95.56965506	95.40722964	95.15543601	94.7138128	94.64417717	94.66264602	94.66264602	94.66264602	94.66264602	94.66264602
