0	8
0.1	25.633
0.2	46.996
0.3	59.206
0.4	94.605
0.5	120.237
0.6	139.77
0.7	150.146
0.8	177.001
0.9	194.092
1	208.13
1.1	222.779
1.2	234.374
1.3	245.36
1.4	253.906
1.5	266.115
1.6	275.879
1.7	285.644
1.8	298.461
1.9	304.566
2	317.994
2.1	328.37
2.2	341.795
2.3	352.785
2.4	366.21
2.5	376.586
2.6	390.624
2.7	406.494
2.8	422.975
2.9	441.284
3	458.984
3.1	477.295
3.2	498.657
3.3	518.188
3.4	542.601
3.5	567.018
3.6	596.925
3.7	626.83
3.8	664.064
3.9	708.01
4	761.717
4.1	791.016
4.2	892.944
4.3	938.721
4.4	1097.412
4.5	1242.675
4.6	1330.566
4.7	1687.961111
4.8	1812.741667
4.9	2700
5	50000
