0.0	0
1.0	180
2.0	340
3.0	470
4.0	650
5.0	830
5.5	930
6.0	1080
6.5	1260
7.0	1480
7.5	1760
8.0	2020
8.5	2460
9.0	3150
9.5	3870
10.0	4540
11.0	7000
12.0	15000
15.0	50000
