0	0.000
0.5	10.000
1	40.000
1.5	80.000
2	145.000
2.5	215.000
3	300.000
3.5	400.000
4	500.000
4.5	614.789
5	719.851
5.5	862.982
6	1067.961
6.5	1363.697
7	1784.235
7.5	2368.752
8	3161.556
8.5	4700.000
9	7500.000
10	15000
15	50000
